id,status,sort,name,slug,image,description,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbdv,cbn,cbg,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
1331,2,0,Platinum Master,NA,NA,NA,Indica,NA,Healing Orange County,NA,NA,NA,"Santa Ana, CA",NA,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1332,2,0,Fire OG -M,NA,NA,NA,Hybrid,NA,DB Gardens,NA,NA,NA,"Northridge, CA",NA,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1333,2,0,Fire OG -B,NA,NA,NA,Hybrid,NA,DB Gardens,NA,NA,NA,"Northridge, CA",NA,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1334,2,0,Legendary Lemon,NA,NA,NA,Sativa,NA,Mr. Lemon,"Horny, Euphoric, Relaxed, Creative, Sleepy, Dry Mouth","Depression, Inflammation, Insomnia, Nausea, Pain",Blueberry,"Laguna Beach, CA",NA,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1335,2,0,Woody OG,NA,NA,NA,Organi,NA,Slap Happy Meds,NA,NA,NA,", CA",NA,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1336,2,0,Black Berry,NA,NA,NA,Hybrid,NA,Apothecary Seed Company,NA,NA,NA,"Gardena, CA",NA,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1337,2,0,Hardball,NA,NA,NA,Indica,NA,Holistic Healing Collective,NA,NA,NA,"Richmond, CA",NA,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1338,2,0,GDP Buddha,NA,NA,NA,Indica,NA,Grandaddypurp Collective,NA,NA,NA,"Richmond, CA",NA,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1339,2,0,Blackberry Pie,NA,NA,NA,Hybrid,NA,Gage Green Group,NA,NA,NA,"Richmond, CA",NA,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1340,2,0,Energee,NA,NA,NA,Hybrid,NA,Grandaddypurp Collective,NA,NA,NA,"Richmond, CA",NA,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
