id,name,slug,location,category,instagram
146,Blazing Ape OG Kush,blazing-ape-og-kush,MI,"Flower, Concentrates,",NA
147,Blend Bath and Body,blend-bath-and-body,CA,"Medical,",NA
148,Blessed Edibles (CANADA),blessed-edibles-canada,CA,NA,NA
149,Blessed Extracts,blessed-extracts,CA,NA,NA
150,Blimburn Seeds (SPAIN),blimburn-seeds-spain,CA,NA,NA
151,Blissful Herbs (CANADA),blissful-herbs-canada,CA,NA,NA
152,Blissful Oil,blissful-oil,CA,NA,NA
153,Blizzard Extracts,blizzard-extracts,CA,"Concentrates,",NA
154,Bloom Farms,bloom-farms,CA,NA,NA
155,Blue Chip Genetics,blue-chip-genetics,CA,"Flower,",NA
156,Blue KUDU,blue-kudu,CO,"Edibles,",NA
157,Blue Roots Cannabis,blue-roots-cannabis,WA,"Flower, Concentrates, Edibles,",NA
158,Bluebird Botanicals,bluebird-botanicals,CA,"Concentrates, Vape Pens, Medical,",NA
159,Bodhi High,bodhi-high,WA,"Concentrates, Vape Pens, Medical,",NA
160,Bold Leaf,bold-leaf,WA,"Flower,",NA
161,Bolder Extracts,bolder-extracts,WA,"Concentrates,",NA
162,Bomb Bomb,bomb-bomb,WA,"Flower,",NA
163,Bombay Farms,bombay-farms,WA,"Flower,",NA
164,Bonez Grown,bonez-grown,WA,"Flower,",NA
165,Bonfire Cannabis,bonfire-cannabis,Co,"Flower, Concentrates,",NA
166,Bonsai Cultivation,bonsai-cultivation,CO,"Flower,",NA
167,Boom Extrax,boom-extrax,Oregon,"Concentrates, Vape Pens,",NA
168,Boomshaka Cupcakes,boomshaka-cupcakes,CA,"Edibles,",NA
169,Boss Concentrates,boss-concentrates,CA,"Concentrates,",NA
170,Boss Status Genetics,boss-status-genetics,CA,"Flower,",NA
171,Botex Pharma,botex-pharma,CA,"Concentrates, Medical,",NA
172,Brass Knuckles,brass-knuckles,CA,NA,NA
173,Brass Monkey,brass-monkey,CA,"Flower, Concentrates,",NA
174,Brave Hearts Private Reserve,brave-hearts-private-reserve,CA,"Flower,",NA
175,Breaking Dab Lab,breaking-dab-lab,CA,"Flower,",NA
176,Breaking Fractions Extracts,breaking-fractions-extracts,MI,"Vapes,",NA
177,BreakingErrl,breakingerrl,MI,"Edibles,",NA
178,Breez Mints,breez-mints,CA,"Edibles,",NA
179,Brents Farms,brents-farms,CA,"Flower,",NA
180,Brewbudz by Cannabiniers,brewbudz-by-cannabiniers,CA,"Edibles,",NA
181,Brite Labs,brite-labs,CA,"Concentrates, Vape Pens,",NA
182,Brutal Bee,brutal-bee,CA,"Concentrates,",NA
183,Bud Barber,bud-barber,Ca,"Edibles, Medical,",NA
184,Budda Blends,budda-blends,CA,"Medical,",NA
185,Buddah Seeds Bank (SPAIN),buddah-seeds-bank-spain,CA,"Flower,",NA
186,Budder Lips,budder-lips,CA,"Medical,",NA
187,Buddha Budder,buddha-budder,CA,"Concentrates, Vape Pens,",NA
